DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
D00076,960,160,0.6,1075,0,170,JQ
D00076,960,160,0.6,1075,0,170,JQ
D00076,960,160,0.6,1075,0,170,JQ
D00076,910,160,0.6,1075,0,170,JQ
D00076,930,160,0.6,1075,0,180,JQ
D00083,145,230,0.6,1200,350,175,JQ
D00083,110,210,0.7,1085,350,165,JQ
D00083,110,205,0.7,1085,350,152,JQ
D00083,110,210,0.7,1085,0,210,JQ
D00084,55,205,0.7,1130,330,160,JQ
D00085,105,205,0.7,1120,420,160,JQ
D00087,69,150,0.7,1265,425,230,JQ
D00087,58,155,0.9,1270,410,190,JQ
D00087,58,150,0.85,1280,395,190,JQ
D00087,58,150,0.9,1280,395,190,JQ
D00087,58,150,0.9,1280,395,195,JQ
D00087,60,155,0.9,1280,395,200,JQ
D00087,60,155,0.9,1290,395,200,JQ
D00087,60,155,0.9,1280,395,200,JQ
D00087,60,155,0.9,1280,395,200,JQ
D00087,61,150,0.85,1260,425,220,JQ
D00087,61,150,0.85,1260,425,200,JQ
D00087,63,150,0.75,1250,425,215,JQ
D00087,61,150,0.8,1255,425,210,JQ
D00087,65,172,0.6,1265,425,170,JQ
D00087,65,172,0.6,1265,425,190,JQ
D00087,68,170,0.6,1265,425,200,JQ
D00087,65,160,0.7,1265,425,230,JQ
D00087,72,180,0.6,1260,425,200,JQ
D00087,60,150,0.8,1265,410,200,JQ
D00089,110,250,0.6,1070,330,160,JQ
D00089,117,250,0.6,1080,315,165,JQ
D00089,98,220,0.7,1080,300,165,JQ
D00089,117,255,0.6,1095,305,165,JQ
D00089,114,245,0.6,1105,250,165,JQ
D00089,100,210,0.6,1130,240,175,JQ
D00090,130,235,0.6,1100,330,175,JQ
D00090,110,210,0.9,1110,330,155,JQ
D00090,105,205,0.7,1060,335,150,JQ
D00090,100,215,0.8,1060,335,150,JQ
D00090,125,235,0.6,1060,0,205,JQ
D00090,100,215,0.7,1060,0,190,JQ
D00092,115,190,0.6,1100,320,155,JQ
D00092,120,200,0.7,1100,0,215,JQ
D00092,120,200,0.7,1095,0,215,JQ
D00092,120,200,0.7,1100,330,170,JQ
D00092,120,195,0.6,1100,320,165,JQ
D00092,120,200,0.7,1100,330,170,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,120,200,0.7,1100,330,170,JQ
D00092,125,205,0.7,1100,0,215,JQ
D00092,120,205,0.7,1100,0,215,JQ
D00092,120,200,0.7,1100,0,210,JQ
D00092,120,200,0.7,1100,320,165,JQ
D00092,120,200,0.7,1100,0,225,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,132,220,0.6,1110,0,210,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,120,200,0.7,1110,0,210,JQ
D00092,120,200,0.6,1100,320,165,JQ
D00092,120,200,0.6,1100,320,165,JQ
D00092,120,200,0.6,1100,320,170,JQ
D00092,108,195,0.7,1000,0,165,JQ
D00092,105,210,0.6,990,0,175,JQ
D00092,105,200,0.6,1100,0,175,JQ
D00092,115,200,0.65,1100,0,195,JQ
D00097,125,175,0.6,1130,280,175,JQ
D00097,100,210,0.7,1165,250,165,JQ
D00097,100,205,0.7,1165,250,165,JQ
D00097,100,205,0.7,1170,0,165,JQ
D00097,125,180,0.6,1050,290,175,JQ
D00097,117,180,0.6,1010,310,165,JQ
D00097,117,190,0.6,980,370,165,JQ
D00097,105,170,0.7,975,400,165,JQ
D00097,115,200,0.6,975,400,165,JQ
D00097,105,205,0.7,1160,230,175,JQ
D00097,100,205,0.7,1165,230,165,JQ
D00097,105,220,0.75,1165,260,165,JQ
D00101,85,230,0.7,1200,400,160,JQ
D00101,85,210,0.9,1290,0,225,JQ
D00101,85,210,0.9,1290,0,225,JQ
D00101,90,195,0.85,1300,0,170,JQ
D00101,85,205,0.9,1300,0,160,JQ
D00101,85,210,0.9,1300,0,160,JQ
D00101,85,210,0.9,1300,0,160,JQ
D00101,92,185,0.9,1285,390,170,JQ
D00101,89,205,0.9,1260,415,170,JQ
D00101,85,210,0.9,1245,425,165,JQ
D00101,90,185,0.9,1265,380,230,JQ
D00101,90,240,0.6,1200,360,150,JQ
D00101,80,195,0.7,1265,410,205,JQ
D00101,85,210,0.9,1250,430,210,JQ
D00101,85,210,0.9,1290,430,210,JQ
D00101,85,210,0.9,1290,430,210,JQ
D00101,85,210,0.9,1290,430,225,JQ
D00101,85,210,0.9,1290,430,225,JQ
