,DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
207,D00056,105.0,205.0,0.6,945,400.0,180.0,JQ
208,D00056,120.0,200.0,0.6,975,425.0,185.0,JQ
209,D00056,110.0,205.0,0.6,980,435.0,170.0,JQ
210,D00056,103.0,205.0,0.55,975,425.0,185.0,JQ
211,D00056,105.0,205.0,0.6,980,435.0,170.0,JQ
212,D00056,105.0,205.0,0.6,985,425.0,170.0,JQ
213,D00056,105.0,205.0,0.6,995,425.0,170.0,JQ
214,D00056,105.0,205.0,0.6,995,425.0,170.0,JQ
215,D00056,102.0,190.0,0.65,975,356.7,185.0,JQ
216,D00056,100.0,196.0,0.65,975,356.7,185.0,JQ
217,D00056,104.0,203.0,0.6,965,356.7,185.0,JQ
218,D00056,108.0,205.0,0.6,960,356.7,185.0,JQ
219,D00056,112.0,195.0,0.55,955,356.7,180.0,JQ
220,D00056,110.0,210.0,0.55,955,356.7,170.0,JQ
221,D00056,105.0,295.0,0.6,975,425.0,185.0,JQ
222,D00056,105.0,205.0,0.6,955,356.7,165.0,JQ
223,D00056,113.0,205.0,0.5,975,356.7,185.0,JQ
224,D00056,110.0,205.0,0.55,975,356.7,170.0,JQ
225,D00056,105.0,200.0,0.55,975,356.7,160.0,JQ
226,D00056,105.0,205.0,0.55,975,356.7,160.0,JQ
227,D00056,102.0,205.0,0.6,975,425.0,185.0,JQ
228,D00056,110.0,185.0,0.6,1200,356.7,170.0,JQ
229,D00056,110.0,187.0,0.6,1100,356.7,170.0,JQ
230,D00056,110.0,210.0,0.6,95,356.7,170.0,JQ
231,D00056,110.0,215.0,0.6,930,356.7,185.0,JQ
232,D00058,43.0,220.0,0.7,1075,320.0,160.0,JQ
233,D00058,43.0,220.0,0.7,1075,356.7,220.0,JQ
234,D00058,43.0,220.0,0.7,1075,356.7,220.0,JQ
235,D00058,43.0,220.0,0.7,1075,356.7,220.0,JQ
236,D00059,60.0,210.0,0.55,1050,350.0,170.0,JQ
237,D00059,57.0,210.0,0.55,1030,365.0,180.0,JQ
238,D00059,58.0,215.0,0.55,1015,370.0,190.0,JQ
239,D00059,64.0,215.0,0.5,1025,370.0,195.0,JQ
240,D00059,60.0,215.0,0.55,1025,370.0,190.0,JQ
241,D00059,60.0,215.0,0.5,1020,356.7,190.0,JQ
242,D00059,56.0,215.0,0.55,1030,356.7,190.0,JQ
243,D00059,60.0,215.0,0.55,1030,356.7,195.0,JQ
244,D00059,60.0,220.0,0.55,1030,356.7,195.0,JQ
245,D00060,85.0,195.0,0.9,1200,356.7,160.0,JQ
246,D00060,89.0,207.0,0.92,1160,356.7,160.0,JQ
247,D00060,89.0,212.0,0.8,1120,356.7,160.0,JQ
248,D00060,90.0,217.0,0.8,1120,356.7,160.0,JQ
249,D00060,90.0,210.0,0.8,1100,356.7,160.0,JQ
250,D00060,78.0,210.0,0.7,1100,356.7,160.0,JQ
251,D00060,85.0,210.0,0.8,1100,356.7,175.0,JQ
252,D00060,90.0,210.0,0.8,1100,356.7,185.0,JQ
253,D00062,77.0,175.0,0.6,1170,356.7,175.0,JQ
254,D00062,74.0,220.0,0.5,970,356.7,170.0,JQ
255,D00062,75.0,185.0,0.6,1120,356.7,170.0,JQ
256,D00062,75.0,200.0,0.6,1060,356.7,170.0,JQ
257,D00062,76.0,200.0,0.6,1010,356.7,180.0,JQ
258,D00062,72.0,200.0,0.6,1010,356.7,170.0,JQ
259,D00062,72.0,198.0,0.6,1010,356.7,170.0,JQ
260,D00062,73.0,203.0,0.6,1010,356.7,170.0,JQ
261,D00062,74.0,220.0,0.6,990,356.7,170.0,JQ
262,D00062,70.0,220.0,0.5,970,356.7,170.0,JQ
263,D00063,45.0,220.0,0.7,1170,356.7,180.0,JQ
264,D00063,44.0,220.0,0.7,1170,355.0,180.0,JQ
265,D00063,44.0,220.0,0.7,1170,355.0,180.0,JQ
266,D00063,44.0,220.0,0.7,1170,355.0,180.0,JQ
267,D00063,44.0,227.0,0.8,1180,360.0,180.0,JQ
268,D00063,44.0,222.0,0.8,1190,355.0,180.0,JQ
269,D00063,47.0,227.0,0.8,1195,345.0,170.0,JQ
270,D00063,45.0,225.0,0.75,1175,355.0,180.0,JQ
271,D00063,44.0,220.0,0.7,1185,350.0,170.0,JQ
272,D00063,44.0,215.0,0.7,1180,345.0,170.0,JQ
273,D00063,44.0,215.0,0.7,1190,360.0,170.0,JQ
274,D00063,44.0,220.0,0.7,1180,356.7,180.0,JQ
275,D00063,51.0,230.0,0.6,1050,335.0,200.0,JQ
276,D00063,47.0,220.0,0.65,1050,350.0,200.0,JQ
277,D00063,46.0,220.0,0.6,1060,350.0,190.0,JQ
278,D00063,45.0,225.0,0.8,1200,345.0,145.0,JQ
279,D00063,40.0,230.0,0.9,1160,350.0,140.0,JQ
280,D00063,47.0,230.0,0.7,1200,400.0,180.0,JQ
281,D00063,41.0,221.0,0.8,1200,365.0,160.0,JQ
282,D00063,42.0,225.0,0.7,1200,385.0,160.0,JQ
283,D00063,43.0,220.0,0.7,1215,380.0,160.0,JQ
284,D00063,44.0,220.0,0.7,1165,310.0,180.0,JQ
285,D00063,44.0,220.0,0.7,1180,356.7,180.0,JQ
